event_slug,event_title,market_id,question,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_ask_depth_at_best,yes_bid_depth_1c,yes_bid_depth_2c,yes_bid_depth_at_best,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_ask_depth_at_best,no_bid_depth_1c,no_bid_depth_2c,no_bid_depth_at_best
world-cup-winner,World Cup Winner ,558992,Will Team AM win the 2026 FIFA World Cup?,Team AM,Yes,No,86040916914507857269605207059811736324691981407025555024902462000511476766233,76131146098126828471552637113581456291047249523223872964238917671303838166693,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558993,Will Team AN win the 2026 FIFA World Cup?,Team AN,Yes,No,14203543069867412195885282783300574554675270350831553865498671736859883729328,111141748955003778213195540207821951246406288122124160457709818758152671531484,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558994,Will Team AO win the 2026 FIFA World Cup?,Team AO,Yes,No,6248841595165561514782366563826694953383315834764501750927289530971890369258,2508228306296492947994749517968042065729708036603468124889079030422879794215,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-finals-exact-matchup-20260708195422328,World Cup: Finals Exact Matchup,2851387,Will the final be ESP vs ENG at the 2026 FIFA World Cup?,ESP vs ENG,Yes,No,68572597199146111521345758915289443747958372073094348952231708037637511101046,3064896343340640125439892704161881550356386743586561161261227329181598191118,1186118.5651,38344.971888999986,0.05,0.01,0.53,0.52,0.010000000000000009,4801.7295,9855.399000000001,1489.0509000000002,22217.114400000002,26595.114400000002,16148.542800000001,0.48,0.47,0.010000000000000009,20736.935599999997,25114.935599999997,14906.347199999998,4142.3905,8277.211,1320.4791
world-cup-finals-exact-matchup-20260708195422328,World Cup: Finals Exact Matchup,2851388,Will the final be ESP vs ARG at the 2026 FIFA World Cup?,ESP vs ARG,Yes,No,26722865658714832824605825712646012776779454505093583888906287248288458728183,100922071917861245950292801802363820619969733453887227629204849801978303284505,748463.8751,63525.62433299998,0.05,0.01,0.47,0.46,0.009999999999999953,7770.8415,14695.8498,4093.6671,17789.557200000003,563544.4328000001,12823.4292,0.54,0.53,0.010000000000000009,21123.3028,715720.4172,15053.590800000002,8599.8685,15807.530200000001,4616.262900000001
world-cup-finals-exact-matchup-20260708195422328,World Cup: Finals Exact Matchup,2851394,Will the final be a different matchup at the 2026 FIFA World Cup?,Other,Yes,No,44706781300822028849783683929182336598356773883523244156906574050195659751648,108180971699463033732003841014168756147980186738873901139240576415084152664462,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-3rd-place-game-exact-matchup-20260708194423346,World Cup: 3rd Place Game Exact Matchup,2849805,Will the third-place match be FRA vs ENG at the 2026 FIFA World Cup?,FRA vs ENG,Yes,No,57735398109854106880454775131407064677006203652539846485345824415147479818197,52083984727401838951869642934752055611410669564136608913518076679577837975798,153732.2635,22426.172673,0.05,0.01,0.47,0.46,0.009999999999999953,1323.7127999999998,6850.4326,115.3944,3614.7965,26999.4721,926.969,0.54,0.53,0.010000000000000009,4373.3035,34135.617900000005,1088.181,1439.1372000000001,7191.437400000001,130.12560000000002
world-cup-3rd-place-game-exact-matchup-20260708194423346,World Cup: 3rd Place Game Exact Matchup,2849806,Will the third-place match be FRA vs ARG at the 2026 FIFA World Cup?,FRA vs ARG,Yes,No,46706520621623536409236024707056428275644457809870704477366997615826126074310,61222209097111777729120260166475525334625513116004015476383037723120372618627,133374.0469,5714.2288579999995,0.05,0.01,0.54,0.53,0.010000000000000009,8074.395800000001,122742.7958,6035.050800000001,794.0227,1970.0827,5.697500000000001,0.47,0.46,0.009999999999999953,732.7373,1862.6773,5.052499999999999,6809.524200000001,96906.1242,5140.9692000000005
world-cup-3rd-place-game-exact-matchup-20260708194423346,World Cup: 3rd Place Game Exact Matchup,2849820,Will the third-place match be a different matchup at the 2026 FIFA World Cup?,Other,Yes,No,43065534517911933639661541724669882570980400033390961366854170643154487014232,34578569221808753064936403911841700284023476230547628731062006338461652355257,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-spain-stage-of-elimination,World Cup: Spain Stage of Elimination,2448413,Will Spain finish in some other position in the World Cup?,Other,Yes,No,34487631758332146155568971686773894942499934905254462087341004164760469629600,78578657726280834415936765376335820821692438633143880865384764857248635840491,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-spain-stage-of-elimination,World Cup: Spain Stage of Elimination,2448419,Will Spain be eliminated in the Final of the World Cup?,Final,Yes,No,96319391904353420636775511478282416056772814290480656011713597697236957828078,65702127693542271995046571754255057629741808262890567754262343085830201130493,217930.7201,69774.14850800007,0.05,0.01,0.43,0.41,0.020000000000000018,101934.6625,113648.959,10681.5225,3325.7178000000004,11749.7178,736.5977999999999,0.59,0.57,0.020000000000000018,4943.6622,18119.6622,1059.9822,130299.58750000001,144617.06100000002,14159.227499999999
world-cup-spain-stage-of-elimination,World Cup: Spain Stage of Elimination,2448420,Will Spain win the World Cup?,Champion,Yes,No,86204699657023073737431140504228481088410914800662934232508475823602721427942,38622035227109395326478823305750849969082882735379671760327551489387280782856,272991.5903,32581.181278000004,0.05,0.01,0.59,0.58,0.010000000000000009,10439.131300000001,26855.4513,3681.8773,4643.9673999999995,15315.803399999999,1805.4472,0.42,0.41,0.010000000000000009,3448.7326,11833.746599999999,1307.3928,7063.4287,17559.1087,2558.5927
